player_id,player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,team,opponent,home,starter,date,location
4702886,T. McMillan,F,14,2,4,0,0,0,0,0,2,2,1,0,0,4,2,4,McNeese,McNeese,FALSE,TRUE,2023-01-28,H
4701228,C. Shumate,F,32,7,10,1,1,0,4,3,3,6,0,0,0,3,5,15,McNeese,McNeese,FALSE,TRUE,2023-01-28,H
4897338,J. Massie,G,30,4,9,1,3,2,2,0,5,5,4,2,0,2,1,11,McNeese,McNeese,FALSE,TRUE,2023-01-28,H
4592723,H. Francois,G,27,4,7,3,6,0,0,0,1,1,1,0,0,0,2,11,McNeese,McNeese,FALSE,TRUE,2023-01-28,H
4396689,Z. Scott,G,35,4,12,2,5,3,4,1,3,4,1,1,0,4,2,13,McNeese,McNeese,FALSE,TRUE,2023-01-28,H
5107301,D. Thomas,F,15,3,5,0,0,0,0,4,0,4,0,0,0,1,4,6,McNeese,McNeese,FALSE,FALSE,2023-01-28,H
5107300,R. Berze,F,9,1,5,1,5,0,0,1,1,2,1,1,0,1,1,3,McNeese,McNeese,FALSE,FALSE,2023-01-28,H
4897337,T. English,PG,25,3,5,1,3,0,0,1,2,3,4,2,0,1,4,7,McNeese,McNeese,FALSE,FALSE,2023-01-28,H
5107298,D. Oday,G,13,1,2,0,1,0,0,1,2,3,2,0,0,1,0,2,McNeese,McNeese,FALSE,FALSE,2023-01-28,H
NA,TEAM,NA,NA,29,59,9,24,5,10,12,19,31,14,6,0,17,21,72,McNeese,McNeese,FALSE,FALSE,2023-01-28,H
