number,name,position,height,weight,class,hometown,player_image
0,Houston Mallette,G,"6' 5""",185 lbs,SO,"Alameda, CA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4709141.png
1,Mike Mitchell Jr.,G,"6' 2""",185 lbs,SO,"San Jose, CA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4897176.png
2,Jalen Pitre,F,"6' 8""",220 lbs,FR,"Long Beach, CA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5105453.png
3,Malik Moore,G,"6' 5""",185 lbs,FR,"Ventura, CA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5105454.png
5,Jay Yoon,G,"6' 4""",195 lbs,SR,"Arcadia, CA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4397698.png
10,Paul Jordan,F,"6' 6""",200 lbs,FR,"Sea Cliff, NY",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4897177.png
11,Carson Basham,C,"6' 10""",240 lbs,SO,"Phoenix, AZ",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4699582.png
12,Boubacar Coulibaly,F,"6' 10""",215 lbs,SO,"Bamako, Mali",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4433495.png
13,Cord Stansberry,G,"6' 3""",175 lbs,FR,"Bermuda Dunes, CA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5105455.png
14,Jevon Porter,F,"6' 11""",220 lbs,FR,"Columbia, MO",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4684798.png
22,Majok Deng,G,"6' 4""",190 lbs,JR,"Tucson, AZ",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4431803.png
24,Maxwell Lewis,F,"6' 7""",195 lbs,SO,"Las Vegas, NV",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4684286.png
31,Jan Zidek,F,"6' 9""",240 lbs,SR,"Prague, Czech Republic",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4593792.png
33,David Mager,G,"6' 3""",175 lbs,FR,"Englewood, NJ",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5105456.png
35,Aladji Gassama,F,"6' 9""",210 lbs,FR,"Bamako, Mali",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4897178.png
