number,name,position,height,weight,class,hometown,player_image
0,John Buggs III,G,"6' 3""",185 lbs,SO,"Homer, LA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4592451.png
1,Japhet Medor,G,"6' 0""",168 lbs,SR,"Wellington, FL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5106842.png
2,Aleu Aleu,G,"6' 9""",190 lbs,SR,"Austin, TX",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4897687.png
3,Azavier Johnson,G,"6' 5""",202 lbs,FR,"Las Vegas, NV",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4897690.png
4,Josh Farmer,F,"6' 10""",198 lbs,SO,"Houston, TX",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4897689.png
5,DJ Richards,G,"6' 5""",180 lbs,FR,"Houston, TX",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5106843.png
10,Erik Czumbel,G,"6' 3""",196 lbs,SR,"Verona, Italy",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4593285.png
11,Lachlan Bofinger,F,"6' 7""",223 lbs,JR,"Sydney, NSW",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4703124.png
12,Sam Aldirawi,F,"6' 5""",202 lbs,FR,"Houston, TX",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5106844.png
13,Carlton Linguard Jr.,F,"7' 0""",218 lbs,SR,"San Antonio, TX",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4700533.png
14,Massal Diouf,F,"6' 9""",240 lbs,FR,"Gouda, Netherlands",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5106845.png
20,Lamin Sabally,F,"6' 8""",204 lbs,SO,"Berlin, Germany",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4897691.png
22,Christian Tucker,G,"6' 3""",178 lbs,SO,"Chandler, AZ",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4897692.png
24,Jacob Germany,F,"6' 11""",238 lbs,SR,"Kingston, OK",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4432877.png
25,Isaiah Addo-Ankrah,G,"6' 7""",200 lbs,JR,"Houston, TX",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4703125.png
